id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
4fpEuKIzTLmMJnYwFU0oqr,0.51,0.16,4,-21.03,1,0.0395,0.986,0.017,0.113,0.383,170.063
4tcwdkKzXn0Tsyz3WtH3gc,0.559,0.393,7,-6.172,1,0.0299,0.868,0,0.116,0.458,66.828
7yC7FWZz24L43brXzNpLWT,0.312,0.536,1,-11.701,0,0.036,0.269,0.0769,0.113,0.0971,104.483
3jfZ9M23l0L7RxzYMTgBTv,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721
24HPkbkXJsIFC4eyg63zgQ,0.873,0.582,5,-9.901,1,0.047,0.0282,0.0699,0.182,0.77,122.005
5FeFPGq2whLMxNGQ7Fpp35,0.616,0.471,10,-10.629,1,0.0321,0.443,0.00283,0.138,0.165,114.011
7126kIzOFbWsvWcz6s4ITQ,0.173,0.793,5,-4.354,0,0.0444,0.00287,0.000258,0.209,0.13,143.396
5fztwLyeoasBgTU8ISdnYN,0.235,0.702,0,-5.112,0,0.0588,0.00985,0.000184,0.326,0.215,80.013
0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303
1DrarMEXcAgQs2nyCPE3Jv,0.589,0.446,3,-11.954,1,0.029,0.628,0.0092,0.196,0.337,98.729
66R2Xq3K0h7QkIxfbS6Kkk,0.696,0.736,7,-8.371,1,0.0434,0.00372,0.629,0.117,0.664,151.959
79RsQCxirSGkCO2CMDXwOJ,0.66,0.465,9,-9.88,1,0.0871,0.763,8.01e-05,0.15,0.391,120.205
1WREsRSG1MbMhVl5dDy5xP,0.64,0.434,2,-16.791,1,0.117,0.926,0.514,0.34,0.25,179.901
5Y1KrA5SLUFxXwxZncgxLR,0.722,0.402,11,-13.194,0,0.0408,0.403,0.0002,0.241,0.514,109.001
2ynCjjrmED5CfiVn2ZLkUk,0.395,0.415,3,-8.461,1,0.0338,0.242,0.912,0.134,0.143,126.875
0Olx7UxLDnNxoT2W6qgwVw,0.27,0.916,4,-6.065,1,0.459,0.178,1.79e-05,0.68,0.188,162.705
1CLmFKW99S8eJrebO3GB04,0.581,0.4,2,-8.739,1,0.0291,0.893,0.576,0.161,0.433,112.331
7uHwZaROlb4EK3dBNJMghU,0.159,0.929,0,-3.171,1,0.141,6.43e-05,0,0.305,0.17,97.308
0tkBOcK7oRVXQJY97zzSvr,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568
1zFbBrZmJr1Z49HYe84dBg,0.588,0.855,9,-6.153,1,0.0372,0.0735,0.815,0.128,0.717,141.941
5PxibFPxW06HBPab6KrcPP,0.311,0.28,3,-10.151,1,0.0271,0.925,0.0362,0.145,0.192,87.254
10reYnBP6UTLlOUUEUZgfv,0.53,0.788,2,-6.263,1,0.0983,0.0189,0.0716,0.0926,0.403,150.003
